id,name,zip_code,county,full_address,geometry
N6593,MONROE TRUCK EQUIPMENT,48507,GENESEE,"2400 REO DR, FLINT, MI","[-83.7291281, 42.9493588]"
N1133,PREMIERE PACKAGING CO,48507,GENESEE,"6220 LEHMAN DR, FLINT, MI","[-83.7124413, 42.9376129]"
N7345,RAINBOW COATINGS OF MICHIGAN,48507,GENESEE,"2716 LIPPINCOTT BOULEVARD, FLINT, MI","[-83.6496389, 43.0022676]"
N7239,SPEEDWAY,48507,GENESEE,"G3247 SOUTH LINDEN ROAD, FLINT, MI","[-83.7722074, 42.9837324]"
N3718,SPEEDWAY #8752,48507,GENESEE,"G5252 W. MILLER ROAD, FLINT, MI","[-83.7371723, 42.99035079999999]"
N8095,SPEEDWAY SUPERAMERICA LLC (REM SITE SSA 8749),48507,GENESEE,"G-2169 W BRISTOL RD, FLINT, MI","[-83.71933109999999, 42.9730324]"
N3397,VALLEY TIRE (NO GAS),48507,GENESEE,"G-5010 MILLER ROAD, FLINT, MI","[-83.77255339999999, 42.9761725]"
B6004,VETERINARY MEDICAL HOSPITAL,48507,GENESEE,"G 3252 MILLER RD, FLINT, MI","[-83.80530019999999, 42.9672081]"
N1332,MACKENZIE CRUSHING LLC,48507,GENESEE,"3178 S. DYE ROAD, FLINT TWP, MI","[-83.7828524, 42.9823833]"
N8296,SUNOCO INC (REM SITE),48509,GENESEE,"4012 DAVISON RD, BURTON, MI","[-83.6349719, 43.032781]"
N7625,SUNOCO INC. (R & M),48509,GENESEE,"5479 LAPEER RD, BURTON, MI","[-83.5969643, 43.0113191]"
B1597,ACE-SAGINAW PAVING CO. PLANT 3,48529,GENESEE,"4190 JIMBO DR, BURTON, MI","[-83.6466669, 42.969145]"
N7635,DMSK ENTERPRISES INC DBA MAACO COLLISION REPAIR,48529,GENESEE,"3345 DORT HWY, BURTON, MI","[-83.652497, 42.979725]"
N7858,TRI CITY AGGREGATES,48529,GENESEE,"3251 BRISTOL RD, BURTON, MI","[-83.6436021, 42.9758995]"
N7737,ZITO CONSTRUCTION CO,48529,GENESEE,"2374 RED ARROW RD, BURTON, MI","[-83.6581889, 42.977169]"
B1598,FLINT WATER POLLUTION CONTROL FACILITY,48532,GENESEE,"G-4652 BEECHER RD, FLINT, MI","[-83.7694465, 43.03682329999999]"
D3699,MCLAREN FLINT,48532,GENESEE,"401 S BALLENGER HWY, FLINT, MI","[-83.7323601, 43.01440350000001]"
