epa_class,srn,facility_name,address_line1,city,zip,county,egle_district,staff,address_full
SM OPT OUT,B5587,LAMBDA ENERGY RESOURCES LLC - MAYFIELD 23,Center Rd.,KINGSLEY,49649,GRAND TRAVERSE,CADILLAC,CHILDSK,"Center Rd., KINGSLEY, MI 49649"
SM OPT OUT,B5589,LAMBDA ENERGY RESOURCES LLC - BROWN 7,Collins Rd.,MANISTEE,49660,MANISTEE,CADILLAC,CHILDSK,"Collins Rd., MANISTEE, MI 49660"
SM OPT OUT,B6013,LAMBDA ENERGY RESOURCES LLC - MANISTEE SULFUR PLAN,4000  Fisk Rd.,MANISTEE,49660,MANISTEE,CADILLAC,CHILDSK,"4000  Fisk Rd., MANISTEE, MI 49660"
MAJOR,B7093,HOUND RESOURCES - AZTEC PLANT,335  Washington St.,MANISTEE,49660,MANISTEE,CADILLAC,CHILDSK,"335  Washington St., MANISTEE, MI 49660"
MINOR,B9135,LAMBDA ENERGY RESOURCES LLC - BEAR LAKE 13,11127  11 MILE RD,BEAR LAKE,49614,MANISTEE,CADILLAC,CHILDSK,"11127  11 MILE RD, BEAR LAKE, MI 49614"
SM OPT OUT,B9136,LAMBDA ENERGY RESOURCES LLC - BEAR LAKE 22,9536 Nine Mile Rd.,BEAR LAKE,49614,MANISTEE,CADILLAC,CHILDSK,"9536 Nine Mile Rd., BEAR LAKE, MI 49614"
SM OPT OUT,B9137,LAMBDA ENERGY RESOURCES LLC - BEAR LAKE 32,7614 Adamson Lake Rd.,BEAR LAKE,49614,MANISTEE,CADILLAC,CHILDSK,"7614 Adamson Lake Rd., BEAR LAKE, MI 49614"
SM OPT OUT,B9160,LAMBDA ENERGY RESOURCES LLC - MAPLE GROVE 16,10326 Healy Lake Rd.,KALEVA,49645,MANISTEE,CADILLAC,CHILDSK,"10326 Healy Lake Rd., KALEVA, MI 49645"
SM OPT OUT,N0199,LAMBDA ENERGY RESOURCES LLC - SPRINGDALE 25,17863 Plagany Rd,COPEMISH,49625,MANISTEE,CADILLAC,CHILDSK,"17863 Plagany Rd, COPEMISH, MI 49625"
MAJOR,N1160,NATIONAL ENERGY OF MCBAIN LLC,6751 W. Gerwoude Dr.,MCBAIN,49657,MISSAUKEE,GAYLORD,BOWMAND7,"6751 W. Gerwoude Dr., MCBAIN, MI 49657"
MAJOR,N1328,REC BOAT HOLDINGS LLC - CRUISER PLANT,609  13 TH. St.,CADILLAC,49601,WEXFORD,GAYLORD,LEBLANCS,"609  13 TH. St., CADILLAC, MI 49601"
MAJOR,N1395,CADILLAC RENEWABLE ENERGY FACILITY,1525 Miltner St.,CADILLAC,49601,WEXFORD,GAYLORD,BOWMAND7,"1525 Miltner St., CADILLAC, MI 49601"
MAJOR,N1470,REC BOAT HOLDINGS LLC - SPORT AND ENGINEERING,925  Frisbie St.,CADILLAC,49601,WEXFORD,GAYLORD,LEBLANCS,"925  Frisbie St., CADILLAC, MI 49601"
MAJOR,N1685,TES FILER CITY STATION,700  Mee Street,FILER CITY,49634,MANISTEE,CADILLAC,OWENSC1,"700  Mee Street, FILER CITY, MI 49634"
SM OPT OUT,N1772,REC BOAT HOLDINGS-TRAILER,1552  Miltner St.,CADILLAC,49601,WEXFORD,GAYLORD,LEBLANCS,"1552  Miltner St., CADILLAC, MI 49601"
SM OPT OUT,N2954,CARGILL SALT - HERSEY,1395 135th Ave,HERSEY,49639,OSCEOLA,CADILLAC,CHILDSK,"1395 135th Ave, HERSEY, MI 49639"
MAJOR,N3261,GLEN'S SANITARY LANDFILL,518 E. TRAVERSE HIGHWAY,MAPLE CITY,49664,LEELANAU,CADILLAC,CHILDSK,"518 E. TRAVERSE HIGHWAY, MAPLE CITY, MI 49664"
